AIRLINE_CODE,ORIGIN_CODE,Month_of_Travel,Predicted_Delay_Time,Cancellation_Probability
9E,BUF,9,5.829023860758563,0.0
9E,BUF,10,0.16305372290511136,0.0
9E,BUF,11,0.653262321055278,0.0
9E,BUF,12,18.450409142145517,0.0
9E,BWI,1,11.750397369731896,0.0
9E,BWI,2,7.209523636173608,0.0
9E,BWI,3,5.950394251044118,0.0
9E,BWI,4,30.2137738514522,0.0
9E,BWI,5,12.202091255536692,0.0
9E,BWI,6,24.299314304684728,0.0
9E,BWI,7,7.714907482696181,0.0
9E,BWI,8,21.16603284710901,0.0
9E,BWI,9,0.0,0.0
9E,BWI,10,0.0,0.0
9E,BWI,11,11.869142874477435,0.0
9E,BWI,12,0.6077446988714388,0.0
9E,CAE,1,0.0,0.0
9E,CAE,2,11.142901013787075,0.0
9E,CAE,3,0.0,0.0
9E,CAE,4,0.0,0.0
9E,CAE,5,0.0,0.0
9E,CAE,6,45.14072619047617,0.0
9E,CAE,7,0.0,0.0
9E,CAE,8,0.0,0.0
9E,CAE,9,0.0,0.0
9E,CAE,10,0.0,0.0
9E,CAE,11,0.9727157744216567,0.0
9E,CAE,12,0.0,0.0
9E,CAK,1,0.0,0.0
9E,CAK,2,0.0,0.0
9E,CAK,3,2.18536507936508,0.0
9E,CAK,4,0.0,0.0
9E,CAK,5,25.61310404688191,0.0
9E,CAK,7,0.0,0.0
9E,CAK,8,5.9856888888888875,0.0
9E,CAK,10,0.0,0.0
9E,CAK,11,2.886916666666666,0.0
9E,CAK,12,0.0,0.0
9E,CHA,1,0.327507556525224,0.0
9E,CHA,2,8.259982070012493,0.0
9E,CHA,3,0.0,0.0
9E,CHA,4,0.0,0.0
9E,CHA,5,0.0,0.0
9E,CHA,6,23.244128231091228,0.0
9E,CHA,7,23.618217051591824,0.0
9E,CHA,8,23.63161360168788,0.0
9E,CHA,9,0.0,0.0
9E,CHA,10,0.0,0.0
9E,CHA,11,11.717769046227254,0.0
9E,CHA,12,0.0,0.0
9E,CHO,1,5.527031580099358,0.0
9E,CHO,2,2.641022073883851,0.0
9E,CHO,3,0.0,0.0
9E,CHO,4,2.3766977329174623,0.0
9E,CHO,5,17.18304437074794,0.0
9E,CHO,6,18.227013784456293,0.0
9E,CHO,7,1.3449155359081328,0.0
9E,CHO,8,32.83343506024655,0.0
9E,CHO,9,0.0,0.0
9E,CHO,10,0.0,0.0
9E,CHO,11,4.402131402910813,0.0
9E,CHO,12,4.506978962729735,0.0
9E,CHS,1,4.128202255722398,0.0
9E,CHS,2,0.8840502354972172,0.0
9E,CHS,3,8.476089243019063,0.0
9E,CHS,4,4.041538021318205,0.0
9E,CHS,5,1.093707053070544,0.0
9E,CHS,6,0.0,0.0
9E,CHS,7,12.91140215340215,0.0
9E,CHS,8,4.6412066590530205,0.0
9E,CHS,9,0.0,0.0
9E,CHS,10,4.842887562815583,0.0
9E,CHS,11,0.0,0.0
9E,CHS,12,0.0,0.0
9E,CID,1,2.4605811593377376,0.0
9E,CID,2,11.019309664192013,0.0
9E,CID,3,7.505725024975024,0.0
9E,CID,4,0.0,0.0
9E,CID,5,58.630149418945535,0.0
9E,CID,6,4.169231983031449,0.0
9E,CID,7,4.554845071595071,0.0
9E,CID,8,2.2025899787478194,0.0
9E,CID,9,2.129984892085898,0.0
9E,CID,10,31.64131164325012,0.0
9E,CID,11,0.0,0.0
9E,CID,12,6.189040320790318,0.0
9E,CLE,1,11.318009671262466,0.0
9E,CLE,2,1.5898486962019325,0.0
9E,CLE,3,5.085794768912411,0.0
9E,CLE,4,7.755215372834774,0.0
9E,CLE,5,3.7455627024249907,0.0
9E,CLE,6,11.058341968317988,0.0
9E,CLE,7,40.148752827418555,0.0
9E,CLE,8,1.0954529912773296,0.0
9E,CLE,9,0.0,0.0
9E,CLE,10,11.22803501029062,0.0
9E,CLE,11,2.107030680522037,0.0
9E,CLE,12,10.321295242044707,0.0
9E,CLT,1,1.7194249932781311,0.0
9E,CLT,2,2.229157931718253,0.0
9E,CLT,3,1.6203261482262223,0.0
9E,CLT,4,37.06462549709494,0.0
9E,CLT,5,27.506608005410015,0.0
9E,CLT,6,7.7047196211494064,0.0
9E,CLT,7,18.994608542542018,0.0
9E,CLT,8,41.05782605943149,0.0
9E,CLT,9,0.0,0.0
9E,CLT,10,14.489463171739928,0.0
9E,CLT,11,11.124742723918196,0.0
9E,CLT,12,10.972933025718417,0.0
9E,CMH,1,10.68781661394161,0.0
9E,CMH,2,0.7557911532911541,0.0
9E,CMH,3,10.722452645093117,0.0
9E,CMH,4,50.64321520146521,0.0
9E,CMH,5,5.963485926805002,0.0
9E,CMH,6,0.0,0.0
9E,CMH,7,0.0,0.0
9E,CMH,8,14.24336674436674,0.0
9E,CMH,9,7.1000797258297235,0.0
9E,CMH,10,4.158346958596959,0.0
9E,CMH,11,0.0,0.0
9E,CMH,12,2.2512209457209456,0.0
9E,CRW,1,1.4931832135498848,0.0
9E,CRW,2,0.0,0.0
9E,CRW,3,0.0,0.0
9E,CRW,4,35.40674206349207,0.0
9E,CRW,5,0.0,0.0
9E,CRW,6,23.873302308802298,0.0
9E,CRW,7,6.488559884559883,0.0
9E,CRW,8,3.5017922355422355,0.0
9E,CRW,9,0.2267738095238095,0.0
9E,CRW,10,19.106974858474864,0.0
9E,CRW,11,20.61641514041514,0.0
9E,CRW,12,11.205185564435565,0.0
9E,CSG,1,25.935514262912868,0.0
9E,CSG,2,0.0,0.0
9E,CSG,3,0.0,0.0
9E,CSG,4,14.077004464489756,0.0
9E,CSG,5,5.265043336565394,0.0
9E,CSG,6,0.0,0.0
9E,CSG,7,1.8156461748792474,0.0
9E,CSG,8,6.081597361702621,0.0
9E,CSG,9,0.0,0.0
9E,CSG,10,0.0,0.0
9E,CSG,11,0.0,0.0
9E,CSG,12,9.200413268253858,0.0
9E,CVG,1,3.1959173194820143,0.0
9E,CVG,2,10.193695705356369,0.0
9E,CVG,3,10.010878847440933,0.0
9E,CVG,4,7.946099050753619,0.0
9E,CVG,5,3.3210065290895336,0.009708737864077669
9E,CVG,6,11.34939343905876,0.0
9E,CVG,7,7.328671897165138,0.0
9E,CVG,8,2.3650471711760592,0.0
9E,CVG,9,16.973068811716256,0.0
9E,CVG,10,5.392607280064599,0.0
9E,CVG,11,1.7157436412109062,0.0
9E,CVG,12,1.7006801561566431,0.0
9E,CWA,1,0.0,0.0
9E,CWA,2,18.93214633766646,0.0
9E,CWA,3,0.0,0.0
9E,CWA,4,3.683567416243887,0.0
9E,CWA,5,0.0,0.0
9E,CWA,6,0.0,0.0
9E,CWA,7,0.0,0.0
9E,CWA,8,10.105882684264888,0.0
9E,CWA,9,0.0,0.0
9E,CWA,10,0.0,0.0
9E,CWA,11,2.601757077889432,0.0
9E,CWA,12,52.480297314445394,0.0
9E,DAL,12,0.0,0.0
9E,DAY,1,11.167271774761092,0.0
9E,DAY,2,4.970505276780733,0.0
9E,DAY,3,0.0,0.0
9E,DAY,4,10.071267388657093,0.0
9E,DAY,5,0.0,0.0
9E,DAY,6,13.040951578220536,0.0
9E,DAY,7,0.0,0.0
9E,DAY,8,0.0,0.0
9E,DAY,9,13.142029133448252,0.0
9E,DAY,10,15.458678732859848,0.0
9E,DAY,11,0.0,0.0
9E,DAY,12,18.050668036815416,0.0
9E,DCA,1,12.112051914631643,0.0
9E,DCA,2,0.0,0.0
9E,DCA,3,6.673032272646441,0.0
9E,DCA,4,0.0,0.0
9E,DCA,5,0.0,0.0
9E,DCA,6,8.824446237422704,0.0
9E,DCA,7,0.9804104294398411,0.0
9E,DCA,8,0.0,0.041666666666666664
9E,DCA,9,2.5386566764848504,0.0
9E,DCA,10,0.0,0.0
9E,DCA,11,1.515816669441669,0.0
9E,DCA,12,0.0,0.0
9E,DFW,1,0.0,0.0
9E,DFW,2,30.540166167166166,0.0
9E,DFW,3,0.9497726717726717,0.0
9E,DFW,4,8.141237373737372,0.0
9E,DFW,5,4.90208170910185,0.0
9E,DFW,6,43.29867644855144,0.0
9E,DFW,7,3.785846173903104,0.0
9E,DFW,8,22.876781163281162,0.0
9E,DFW,9,0.0,0.0
9E,DFW,10,0.0,0.0
9E,DFW,11,19.720178338001865,0.0
9E,DFW,12,3.7923420468420472,0.0
9E,DHN,1,0.0,0.1111111111111111
9E,DHN,2,0.0,0.0
9E,DHN,3,46.67988980463979,0.0
9E,DHN,4,0.0,0.0
9E,DHN,5,0.0,0.0
9E,DHN,6,4.8346190476190465,0.0
9E,DHN,7,2.1935580640120107,0.0
9E,DHN,8,0.0,0.0
9E,DHN,9,0.0,0.0
9E,DHN,10,1.7256077533577527,0.0
9E,DHN,11,0.0,0.0
9E,DHN,12,15.912887598512603,0.0
9E,DLH,1,0.0,0.0
9E,DLH,3,9.161524336774336,0.0
9E,DLH,4,0.0,0.0
9E,DLH,5,0.0,0.0
9E,DLH,6,0.0,0.0
9E,DLH,7,33.88001118326118,0.0
9E,DLH,8,0.0,0.0
9E,DLH,9,14.216884032634033,0.0
9E,DLH,10,0.0,0.0
9E,DLH,11,0.0,0.0
9E,DLH,12,23.724250721500724,0.0
9E,DSM,1,5.320564250969164,0.0
9E,DSM,2,0.0,0.0
9E,DSM,3,0.7867157970539069,0.0
9E,DSM,4,6.616226505809234,0.0
9E,DSM,5,2.466376011861987,0.0
9E,DSM,6,5.274797880495384,0.0
9E,DSM,7,0.764723944002959,0.0
9E,DSM,8,5.483588959499646,0.0
9E,DSM,9,0.0,0.0
9E,DSM,10,0.0,0.0
9E,DSM,11,0.0,0.0
9E,DSM,12,3.716745466026909,0.0
9E,DTW,1,7.027068537394532,0.0
9E,DTW,2,12.757894916629539,0.0
9E,DTW,3,1.5838090220388603,0.0
9E,DTW,4,1.6979801173066456,0.0
9E,DTW,5,0.841791066550532,0.0
9E,DTW,6,3.1677993187437625,0.0
9E,DTW,7,10.372146953367125,0.0
9E,DTW,8,0.5500417017476843,0.002890173410404624
9E,DTW,9,0.0,0.0
9E,DTW,10,0.3381096797807376,0.0
9E,DTW,11,2.5556418781643915,0.0
9E,DTW,12,5.9950813139972485,0.0
9E,ECP,1,4.011452865761688,0.0
9E,ECP,2,32.17235714285714,0.0
9E,ECP,3,1.1083010597526723,0.0
9E,ECP,4,0.2972137584637586,0.0
9E,ECP,12,0.34513630495468817,0.0
9E,ELM,1,0.0,0.0
9E,ELM,3,0.0,0.0
9E,ELM,4,0.0,0.0
9E,ELM,5,0.0,0.0
9E,ELM,6,0.0,0.0
9E,ELM,7,0.0,0.0
9E,ELM,8,0.0,0.0
9E,ELM,9,0.0,0.0
9E,ELM,10,0.0,0.0
9E,ELM,11,0.0,0.0
9E,EVV,1,23.378413681347894,0.0
9E,EVV,2,4.639110303095597,0.0
9E,EVV,3,2.930996342430297,0.0
9E,EVV,4,0.0,0.0
9E,EVV,5,0.0,0.0
9E,EVV,6,8.512913820248567,0.0
9E,EVV,7,4.536362455800359,0.0
9E,EVV,8,0.0,0.0
9E,EVV,9,0.0,0.0
9E,EVV,10,0.002093855787875626,0.0
9E,EVV,11,0.0,0.0
9E,EVV,12,0.0,0.0
9E,EWN,1,0.0,0.0
9E,EWN,2,0.0,0.0
9E,EWN,3,21.755387817928323,0.0
9E,EWN,4,0.28588265002970864,0.0
9E,EWN,5,0.0,0.0
9E,EWN,6,0.0,0.0
9E,EWN,7,0.0,0.0
9E,EWN,8,46.77098587669641,0.0
9E,EWN,9,0.0,0.0
9E,EWN,10,0.0,0.0
