AIRLINE_CODE,ORIGIN_CODE,EXPECTED_DELAY
DL,SEA,0.5589490231304738
DL,ATL,2.2899292855401123
DL,RDU,0.14725568942436412
DL,MDW,1.135135135135135
DL,BDL,-4.254113345521024
DL,BWI,-0.6892382103990327
DL,STT,-3.176829268292683
DL,SRQ,2.2782608695652176
DL,JFK,1.3885958301934187
DL,GRR,-0.88
DL,DFW,4.809966777408638
DL,CLT,-2.997794928335171
DL,ORD,8.585365853658537
DL,LAS,1.6472031403336604
DL,TUL,-5.707182320441989
DL,USA,
DL,SLC,2.2775256127609906
DL,BNA,-3.023465703971119
DL,AUS,1.3845029239766082
DL,IND,-4.138364779874214
DL,MHT,-6.428571428571429
DL,SFO,-1.602652825836217
DL,PRC,
DL,BOS,2.5673249551166966
DL,LAX,0.5363760483713673
DL,SMF,2.5165289256198347
DL,DTW,-0.26623857742652507
DL,SAT,-0.1404109589041096
DL,MSY,-0.8426023084994754
DL,CMH,-5.4700239808153475
DL,STL,-3.3473520249221185
DL,SJU,-4.268571428571429
DL,PHX,-2.6556338028169013
DL,TPA,1.758696852567642
DL,LGA,3.8960522578812835
DL,PHL,-2.552042160737813
DL,GRK,
DL,ILM,-3.6129032258064515
DL,JLN,
DL,MKE,-5.4479338842975205
DL,BIL,-5.7560975609756095
DL,BLI,
DL,CHS,-1.7971014492753623
DL,RIC,-3.556390977443609
DL,GSO,-6.449367088607595
DL,MCI,-2.8968166849615806
DL,EWR,2.560105680317041
DL,ELP,-4.965811965811966
DL,SDF,-2.1641791044776117
DL,HPN,1.8780487804878048
DL,SAN,0.8889770023790642
DL,BHM,-1.7561576354679802
DL,SJC,-1.393939393939394
DL,ASE,
DL,HNL,-4.045977011494253
DL,MAF,
DL,BUF,-0.35668789808917195
DL,TUS,-4.2
DL,SYR,-3.492063492063492
DL,MSN,-3.0553359683794468
DL,FAT,
DL,FWA,
DL,LAN,
DL,ABI,
DL,ICT,-5.937984496124031
DL,CMI,
DL,OAK,-11.840425531914894
DL,IAD,-1.2939759036144578
DL,EUG,-9.5
DL,MIA,6.684487951807229
DL,CHA,2.0575539568345325
DL,BTV,-6.906976744186046
DL,RSW,-2.314390467461045
DL,PDX,0.1796577946768061
DL,SNA,10.924496644295303
DL,PIT,-2.4365079365079363
DL,OGG,-0.9461077844311377
DL,HRL,9.5
DL,BIS,9.038461538461538
DL,SHR,
DL,BOI,2.7818930041152266
DL,RNO,19.32456140350877
DL,GSP,-3.697674418604651
DL,MLB,-3.9206349206349205
DL,GRB,-0.08695652173913043
DL,CRW,-15.5
DL,LGB,-1.5263157894736843
DL,OKC,-3.4268774703557314
DL,PVD,-6.038674033149171
DL,YAK,
DL,CID,-8.947368421052632
DL,FSD,7.303030303030303
DL,HYS,
DL,VPS,-3.8426229508196723
DL,ROC,-5.938271604938271
DL,SAV,0.3407079646017699
DL,CLE,-3.352078239608802
DL,RDD,
DL,ANC,-4.564102564102564
DL,DVL,
DL,SWO,
DL,BUR,-8.066666666666666
DL,PIR,
DL,HOU,-3.9139344262295084
DL,PBI,6.3795966785290625
DL,MLI,
DL,AZA,
DL,MKG,
DL,PNS,-6.6479591836734695
DL,MYR,-1.6682926829268292
DL,GTF,-4.5
DL,LSE,
DL,RDM,
DL,ORF,-3.038369304556355
DL,KOA,-0.5232558139534884
DL,MQT,
DL,COS,-2.3076923076923075
DL,CVG,-1.407337723424271
DL,MOB,-9.256410256410257
DL,AVL,-3.212121212121212
DL,BTR,-5.8307692307692305
DL,JNU,-10.642857142857142
DL,CDC,
DL,SPS,
DL,ECP,-2.36996336996337
DL,JAX,-0.34143049932523617
DL,SBN,34.5
DL,RAP,-7.428571428571429
DL,AMA,
DL,JMS,
DL,SFB,
DL,ABQ,0.8695652173913043
DL,ALB,-4.621301775147929
DL,BGM,
DL,MGM,
DL,MEM,0.8619528619528619
DL,ONT,4.370535714285714
DL,TVC,1.9795918367346939
DL,GEG,-2.2931937172774868
DL,OMA,-0.4008438818565401
DL,ISP,
DL,DLH,10.666666666666666
DL,PIE,
DL,PSP,-5.958333333333333
DL,ACY,
DL,BJI,
DL,LBB,
DL,SHV,
DL,TTN,
DL,PIA,
DL,GNV,-2.935185185185185
DL,PWM,12.008130081300813
DL,BZN,1.6359649122807018
DL,BRW,
DL,MFR,
DL,GPT,0.625
DL,ATW,-1.5294117647058822
DL,DSM,13.45
DL,CKB,
DL,SGU,
DL,SBA,
DL,OTZ,
DL,BGR,
DL,XNA,7.483870967741935
DL,CAE,-5.503875968992248
DL,SGF,-7.6
DL,PGD,
DL,VLD,
DL,CPR,
DL,LIH,-0.696969696969697
DL,JAN,-6.114035087719298
DL,OAJ,-1.5384615384615385
DL,ABE,-7.133333333333334
DL,EGE,-1.7142857142857142
DL,CRP,
DL,FNT,-10.454545454545455
DL,WRG,
DL,FCA,4.676470588235294
DL,CHO,1.0555555555555556
DL,MRY,
DL,SCE,
DL,AEX,
DL,MCW,
DL,RST,-13.636363636363637
DL,SIT,
DL,BMI,
DL,ACV,
DL,GCC,
DL,LFT,3.611111111111111
DL,ITO,
DL,ABY,
DL,GRI,
DL,BPT,
DL,APN,
DL,TLH,-2.9393939393939394
DL,FSM,
DL,ALO,
DL,FAY,0.9047619047619048
DL,GJT,
DL,IAG,
DL,FLG,
DL,LBE,
DL,CAK,-11.61111111111111
DL,BFL,
DL,VEL,
DL,STX,-3.727272727272727
DL,TYS,-2.9
DL,EYW,3.219730941704036
DL,AVP,-4.071428571428571
DL,KTN,
DL,EVV,-4.416666666666667
DL,BRO,
DL,SWF,
DL,LIT,-4.405797101449275
DL,GGG,
DL,MSO,4.36144578313253
DL,PSC,-2.466666666666667
DL,SLN,
DL,SBP,
DL,BIH,
DL,MLU,
DL,HOB,
DL,DAY,-4.276923076923077
DL,DBQ,
DL,ROW,
DL,LEX,-0.3712121212121212
DL,PIH,
DL,EWN,
DL,ESC,
DL,SUX,
DL,PAE,
DL,CNY,
DL,CDV,
DL,COU,
DL,LBF,
DL,MFE,
DL,PSE,
DL,LAR,
DL,FAI,1.0795454545454546
DL,SCC,
DL,MTJ,-11.4
DL,SJT,
DL,AGS,-4.379310344827586
DL,MDT,-7.479591836734694
DL,ELM,
DL,HDN,-5.875
DL,CWA,
DL,MOT,
DL,IDA,-5.666666666666667
DL,FAR,-9.583333333333334
DL,GFK,-17.666666666666668
DL,JAC,16.94818652849741
DL,LAW,
DL,SUN,
DL,IMT,
DL,LCH,
DL,CLL,
DL,PHF,-11.8
DL,TRI,-4.666666666666667
DL,BET,
DL,PBG,
DL,BQN,
DL,BRD,
DL,DAB,-5.695652173913044
DL,DRO,
DL,STS,
DL,ROA,-1.105263157894737
DL,DDC,
DL,INL,
DL,ORH,
DL,TXK,
DL,BFF,
DL,DHN,
DL,SCK,
DL,LRD,
DL,BTM,
DL,IPT,
DL,PIB,
DL,HYA,
DL,PVU,
DL,LBL,
DL,AZO,
DL,ACK,
DL,YUM,
DL,DRT,
DL,COD,
DL,LNK,
DL,SHD,
DL,CIU,
DL,HLN,
DL,LWB,
DL,MEI,
DL,SAF,
DL,CYS,
DL,ABR,
DL,LCK,
DL,RKS,
DL,GCK,
DL,LWS,
DL,EAR,
DL,GTR,
DL,CSG,
DL,RFD,
DL,BLV,
DL,TYR,
DL,CMX,
DL,PAH,
DL,JST,
DL,TOL,
DL,PSG,
DL,MHK,
DL,YKM,
DL,EAT,
DL,SPI,
DL,BQK,
DL,TWF,
DL,PUB,
DL,DEC,
DL,ACT,
DL,HHH,
DL,PLN,
DL,HIB,
DL,GUC,
DL,ITH,
DL,OME,
DL,MBS,
DL,BFM,
DL,ADQ,
DL,LYH,
DL,RHI,
DL,ALW,
DL,DLG,
DL,ALS,
DL,MMH,
DL,XWA,
DL,SPN,
DL,MVY,
DL,ERI,
DL,PGV,
DL,HGR,
DL,ATY,
DL,SMX,
DL,HVN,
DL,CGI,
DL,BKG,
DL,DIK,
DL,AKN,
DL,RIW,
DL,FLO,
DL,GUM,
DL,EAU,
DL,TBN,
DL,HTS,
DL,PSM,
DL,EKO,
DL,PUW,
DL,FOD,
DL,CDB,
DL,WYS,
DL,OTH,
DL,VCT,
DL,PPG,
DL,OGS,
DL,ISN,
DL,ART,
DL,ILG,
DL,OWB,
DL,OGD,
DL,STC,
DL,GST,
DL,UIN,
DL,ADK,
NK,FLL,8.479108635097493
NK,MSP,5.255813953488372
NK,DEN,3.6455142231947484
NK,MCO,14.375928217821782
NK,DAL,
NK,DCA,
NK,HSV,
NK,IAH,6.828413284132841
NK,SEA,8.656410256410256
NK,ATL,8.858232676414495
NK,RDU,13.857142857142858
NK,MDW,
NK,BDL,4.057142857142857
NK,BWI,8.214087117701576
NK,STT,9.451219512195122
NK,SRQ,
NK,JFK,
NK,GRR,
NK,DFW,11.212221304706853
NK,CLT,22.966183574879228
NK,ORD,7.958135860979463
NK,LAS,7.55902004454343
NK,TUL,
NK,USA,
NK,SLC,25.75
NK,BNA,12.086466165413533
NK,AUS,6.8712328767123285
NK,IND,11.104545454545455
NK,MHT,16.142857142857142
NK,SFO,
NK,PRC,
NK,BOS,9.483050847457626
NK,LAX,5.369910282953761
NK,SMF,7.963768115942029
NK,DTW,2.6477864583333335
NK,SAT,10.206896551724139
NK,MSY,3.0872395833333335
NK,CMH,8.773381294964029
NK,STL,13.1010101010101
NK,SJU,7.189368770764119
NK,PHX,14.444444444444445
NK,TPA,3.551142005958292
NK,LGA,4.6644736842105265
NK,PHL,4.633838383838384
NK,GRK,
NK,ILM,
NK,JLN,
NK,MKE,13.54368932038835
NK,BIL,
NK,BLI,
NK,CHS,15.7
NK,RIC,11.271929824561404
NK,GSO,-6.619047619047619
NK,MCI,9.957983193277311
NK,EWR,6.861248761149653
NK,ELP,
NK,SDF,18.345238095238095
NK,HPN,
NK,SAN,6.32421875
NK,BHM,
NK,SJC,15.23076923076923
NK,ASE,
NK,HNL,
NK,MAF,
NK,BUF,
NK,TUS,
NK,SYR,
NK,MSN,
NK,FAT,
NK,FWA,
NK,LAN,
NK,ABI,
NK,ICT,
NK,CMI,
NK,OAK,5.109144542772861
NK,IAD,
NK,EUG,
NK,MIA,13.390756302521009
NK,CHA,
NK,BTV,
NK,RSW,4.058212058212058
NK,PDX,6.544117647058823
NK,SNA,11.821428571428571
NK,PIT,7.51912568306011
NK,OGG,
NK,HRL,
NK,BIS,
NK,SHR,
NK,BOI,43.0
NK,RNO,0.8148148148148148
NK,GSP,
NK,MLB,
NK,GRB,
NK,CRW,9.0
NK,LGB,
NK,OKC,
NK,PVD,
NK,YAK,
NK,CID,
NK,FSD,
NK,HYS,
NK,VPS,
NK,ROC,-8.833333333333334
NK,SAV,
NK,CLE,6.2782426778242675
NK,RDD,
NK,ANC,
NK,DVL,
NK,SWO,
NK,BUR,6.566265060240964
NK,PIR,
NK,HOU,
NK,PBI,9.25
NK,MLI,
NK,AZA,
NK,MKG,
NK,PNS,14.5625
NK,MYR,6.719072164948454
NK,GTF,
NK,LSE,
NK,RDM,
NK,ORF,40.53846153846154
NK,KOA,
NK,MQT,
NK,COS,
NK,CVG,
NK,MOB,
NK,AVL,-0.6206896551724138
NK,BTR,
NK,JNU,
NK,CDC,
NK,SPS,
NK,ECP,
NK,JAX,-2.073170731707317
NK,SBN,
NK,RAP,
NK,AMA,
NK,JMS,
NK,SFB,
NK,ABQ,47.25
NK,ALB,
NK,BGM,
NK,MGM,
NK,MEM,-1.7333333333333334
NK,ONT,
NK,TVC,
NK,GEG,
NK,OMA,
NK,ISP,
NK,DLH,
NK,PIE,
NK,PSP,
NK,ACY,3.162280701754386
NK,BJI,
NK,LBB,
NK,SHV,
NK,TTN,
NK,PIA,
NK,GNV,
NK,PWM,
NK,BZN,
NK,BRW,
NK,MFR,
NK,GPT,
NK,ATW,
NK,DSM,
NK,CKB,
NK,SGU,
NK,SBA,
NK,OTZ,
NK,BGR,
NK,XNA,
NK,CAE,
NK,SGF,
NK,PGD,
NK,VLD,
NK,CPR,
NK,LIH,
NK,JAN,
NK,OAJ,
NK,ABE,
NK,EGE,
NK,CRP,
NK,FNT,
NK,WRG,
NK,FCA,
NK,CHO,
NK,MRY,
NK,SCE,
NK,AEX,
NK,MCW,
NK,RST,
NK,SIT,
NK,BMI,
NK,ACV,
NK,GCC,
NK,LFT,
NK,ITO,
NK,ABY,
NK,GRI,
NK,BPT,
NK,APN,
NK,TLH,
NK,FSM,
NK,ALO,
NK,FAY,
NK,GJT,
NK,IAG,2.5294117647058822
NK,FLG,
NK,LBE,-3.5316455696202533
NK,CAK,6.204545454545454
NK,BFL,
NK,VEL,
NK,STX,9.829787234042554
NK,TYS,
NK,EYW,
NK,AVP,
NK,KTN,
NK,EVV,
NK,BRO,
NK,SWF,
NK,LIT,
NK,GGG,
NK,MSO,
NK,PSC,
NK,SLN,
NK,SBP,
NK,BIH,
NK,MLU,
NK,HOB,
NK,DAY,
NK,DBQ,
NK,ROW,
NK,LEX,
NK,PIH,
NK,EWN,
NK,ESC,
NK,SUX,
NK,PAE,
NK,CNY,
NK,CDV,
NK,COU,
NK,LBF,
NK,MFE,
NK,PSE,26.46153846153846
NK,LAR,
NK,FAI,
NK,SCC,
NK,MTJ,
NK,SJT,
NK,AGS,
NK,MDT,
NK,ELM,
NK,HDN,
NK,CWA,
NK,MOT,
NK,IDA,
NK,FAR,
NK,GFK,
NK,JAC,
NK,LAW,
NK,SUN,
NK,IMT,
NK,LCH,
NK,CLL,
NK,PHF,
NK,TRI,
NK,BET,
NK,PBG,13.583333333333334
NK,BQN,18.864197530864196
NK,BRD,
NK,DAB,
NK,DRO,
NK,STS,
NK,ROA,
NK,DDC,
NK,INL,
NK,ORH,
NK,TXK,
NK,BFF,
NK,DHN,
NK,SCK,
NK,LRD,
NK,BTM,
NK,IPT,
NK,PIB,
NK,HYA,
NK,PVU,
NK,LBL,
NK,AZO,
NK,ACK,
NK,YUM,
NK,DRT,
NK,COD,
NK,LNK,
NK,SHD,
NK,CIU,
NK,HLN,
NK,LWB,
NK,MEI,
NK,SAF,
